Year,Month,Day,Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Rainy
0.4995601148812073,-1.021358799887198,-1.10570761783319,0.2924250182993956,0.6764874321799396,0.1380805206464765,-0.5173880112873112,0.1574448557895227,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,-0.9920795180502355,-0.335709030584638,-0.5929720235128012,-0.13236903223980456,-0.5173880112873112,-0.1016728680214779,0.41258157191543876,0.39248812560821306,0.34216723938281435,0.5083226995189766,1
0.4995601148812073,-1.021358799887198,-0.8784514182672813,-0.21008222080783132,-0.4423581897865439,0.002855744203335965,-0.3411777931533263,-0.44323714031779776,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,-0.7648233184843272,0.14167284656722715,0.13858088315759168,0.029900699491963497,0.3888359676874689,1.1232472809032543,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,-0.651195218701373,-0.134706134941748,-0.4423581897865439,0.111035565357848,0.489527520906889,1.0408007324179356,-0.3284781993596945,-0.39951924303812,-0.40498156850367584,-0.40989364230577213,1
0.4995601148812073,-1.021358799887198,-0.5375671189184188,-0.009079325164941263,-0.1411305223340294,-0.024189211085292525,0.2881444144680488,1.2528061428087551,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,-0.42393901913546456,-0.03420468712030207,-0.2702280940993924,0.1380805206464765,-0.06427602179992115,0.06322022894915899,-0.21570823416565252,-0.13551678682267562,-0.15593196587484578,-0.18952172026783243,1
0.4995601148812073,-1.021358799887198,-0.3103109193525103,0.09142212265650466,0.07403209727490975,0.21921538651236103,0.036415531419498735,0.27522563933997773,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,-0.19668281956955622,0.19192357047794967,0.3967760266883193,0.1380805206464765,-0.16496757501934126,-0.019226319536159456,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,-0.08305471978660198,0.34267574221011815,0.5473898604145758,0.08399061006922047,-0.4166964580678913,4.138435339794903,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,0.030573379996352207,0.16679820852258886,0.24616219296206127,0.38148511824412906,-0.06427602179992115,-0.05456055460129605,-0.2640382192488134,-0.16191703244422,-0.19744023297965083,-0.2262503739408224,1
0.4995601148812073,-1.021358799887198,0.1442014797793064,0.2421742943886722,0.5258735984536815,0.21921538651236103,-0.06427602179992115,0.581455676571161,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,0.25782957956226066,0.19192357047794967,0.24616219296206127,0.19217043122373254,0.036415531419498735,1.1232472809032543,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,0.37145767934521484,0.2924250182993956,0.46132481257100044,0.24626034180098855,-0.24048623993390622,-0.2312317299269786,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,0.485085779128169,0.11654748461186547,0.3967760266883193,0.111035565357848,-0.3411777931533263,-0.31367827841229706,-0.18348824411021195,-0.003515558714953455,-0.09366956521763829,-0.13442873975834754,1
0.4995601148812073,-1.021358799887198,0.5987138789111232,0.16679820852258886,0.37525976472742506,0.21921538651236103,-0.6935982294212962,-0.7848014126141172,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
